colony,cryo_id,pae_treatment,temp_treatment,tank,cryo_replicate,pae_ugL,freeze_date,notes
2,2-HH2a,High,hot,H2,a,50,8/17/2022,
2,2-HH2b,High,hot,H2,b,50,8/17/2022,
2,2-PA1a,Peak,ambient,A1,a,150,8/17/2022,
2,2-PA1b,Peak,ambient,A1,b,150,8/17/2022,
2,2-PH2a,Peak,hot,H2,a,150,8/17/2022,
2,2-PH2b,Peak,hot,H2,b,150,8/17/2022,
2,2-OA1a,Overdose,ambient,A1,a,500,8/17/2022,
2,2-OA1b,Overdose,ambient,A1,b,500,8/17/2022,
2,2-OH1a,Overdose,hot,H1,a,500,8/17/2022,
2,2-OH1b,Overdose,hot,H1,b,500,8/17/2022,
3,3-CA1a,Control,ambient,A1,a,0,8/17/2022,
3,3-CA1b,Control,ambient,A1,b,0,8/17/2022,
3,3-CH2a,Control,hot,H2,a,0,8/17/2022,
3,3-CH2b,Control,hot,H2,b,0,8/17/2022,
3,3-LA1a,Low,ambient,A1,a,0.5,8/17/2022,
3,3-LA1b,Low,ambient,A1,b,0.5,8/17/2022,
3,3-LH1a,Low,hot,H1,a,0.5,8/17/2022,
3,3-LH1b,Low,hot,H1,b,0.5,8/17/2022,
3,3-MA2a,Mid,ambient,A2,a,5,8/17/2022,
3,3-MA2b,Mid,ambient,A2,b,5,8/17/2022,
3,3-MH2a,Mid,hot,H2,a,5,8/17/2022,
3,3-MH2b,Mid,hot,H2,b,5,8/17/2022,
3,3-HA2a,High,ambient,A2,a,50,8/17/2022,
3,3-HA2b,High,ambient,A2,b,50,8/17/2022,
3,3-HH2a,High,hot,H2,a,50,8/17/2022,
3,3-HH2b,High,hot,H2,b,50,8/17/2022,
3,3-PA1a,Peak,ambient,A1,a,150,8/17/2022,
3,3-PA1b,Peak,ambient,A1,b,150,8/17/2022,
3,3-PH1a,Peak,hot,H1,a,150,8/17/2022,
3,3-PH1b,Peak,hot,H1,b,150,8/17/2022,
3,3-OA1a,Overdose,ambient,A1,a,500,8/17/2022,
3,3-OA1b,Overdose,ambient,A1,b,500,8/17/2022,
3,3-OH2a,Overdose,hot,H2,a,500,8/17/2022,
3,3-OH2b,Overdose,hot,H2,b,500,8/17/2022,
4,4-CA1a,Control,ambient,A1,a,0,8/17/2022,
4,4-CA1b,Control,ambient,A1,b,0,8/17/2022,
4,4-CH1a,Control,hot,H1,a,0,8/17/2022,
4,4-CH1b,Control,hot,H1,b,0,8/17/2022,
4,4-LA2a,Low,ambient,A2,a,0.5,8/17/2022,
4,4-LA2b,Low,ambient,A2,b,0.5,8/17/2022,
4,4-LH2a,Low,hot,H2,a,0.5,8/17/2022,
4,4-LH2b,Low,hot,H2,b,0.5,8/17/2022,
4,4-MA2a,Mid,ambient,A2,a,5,8/17/2022,
4,4-MA2b,Mid,ambient,A2,b,5,8/17/2022,
4,4-MH1a,Mid,hot,H1,a,5,8/17/2022,
4,4-MH1b,Mid,hot,H1,b,5,8/17/2022,
4,4-HA2a,High,ambient,A2,a,50,8/17/2022,
4,4-HA2b,High,ambient,A2,b,50,8/17/2022,
4,4-HH1a,High,hot,H1,a,50,8/17/2022,
4,4-HH1b,High,hot,H1,b,50,8/17/2022,
4,4-PA2a,Peak,ambient,A2,a,150,8/17/2022,
4,4-PA2b,Peak,ambient,A2,b,150,8/17/2022,
4,4-PH1a,Peak,hot,H1,a,150,8/17/2022,
4,4-PH1b,Peak,hot,H1,b,150,8/17/2022,
4,4-OA2a,Overdose,ambient,A2,a,500,8/17/2022,
4,4-OA2b,Overdose,ambient,A2,b,500,8/17/2022,
4,4-OH2a,Overdose,hot,H2,a,500,8/17/2022,
4,4-OH2b,Overdose,hot,H2,b,500,8/17/2022,
5,5-CA2a,Control,ambient,A2,a,0,8/17/2022,
5,5-CA2b,Control,ambient,A2,b,0,8/17/2022,
5,5-CH2a,Control,hot,H2,a,0,8/17/2022,
5,5-CH2b,Control,hot,H2,b,0,8/17/2022,
5,5-LA1a,Low,ambient,A1,a,0.5,8/17/2022,
5,5-LA1b,Low,ambient,A1,b,0.5,8/17/2022,
5,5-LH1a,Low,hot,H1,a,0.5,8/17/2022,
5,5-LH1b,Low,hot,H1,b,0.5,8/17/2022,
5,5-MA1a,Mid,ambient,A1,a,5,8/17/2022,placed in 5-HA1a because 5-MA1a was already accidentally usde for 8MA 
5,5-MA1b,Mid,ambient,A1,b,5,8/17/2022,placed in 5-HA1b because 5-MA1b was already accidentally used for 8MA
5,5-MH1a,Mid,hot,H1,a,5,8/17/2022,
5,5-MH1b,Mid,hot,H1,b,5,8/17/2022,
5,5-HA1a,High,ambient,A1,a,50,8/17/2022,"New vials made on the fly, 15 or 16 on lid distinguishes this one from the mislabeled 5-MA samples"
5,5-HA1b,High,ambient,A1,b,50,8/17/2022,"New vials made on the fly, 15 or 16 on lid distinguishes this one from the mislabeled 5-MA samples"
5,5-HH1a,High,hot,H1,a,50,8/17/2022,
5,5-HH1b,High,hot,H1,b,50,8/17/2022,
5,5-PA2a,Peak,ambient,A2,a,150,8/17/2022,
5,5-PA2b,Peak,ambient,A2,b,150,8/17/2022,
5,5-PH1a,Peak,hot,H1,a,150,8/17/2022,
5,5-PH1b,Peak,hot,H1,b,150,8/17/2022,
5,5-OA2a,Overdose,ambient,A2,a,500,8/17/2022,
5,5-OA2b,Overdose,ambient,A2,b,500,8/17/2022,
5,5-OH1a,Overdose,hot,H1,a,500,8/17/2022,
5,5-OH1b,Overdose,hot,H1,b,500,8/17/2022,
6,6-CA1a,Control,ambient,A1,a,0,8/17/2022,
6,6-CA1b,Control,ambient,A1,b,0,8/17/2022,
6,6-CH1a,Control,hot,H1,a,0,8/17/2022,
6,6-CH1b,Control,hot,H1,b,0,8/17/2022,
6,6-LA2a,Low,ambient,A2,a,0.5,8/17/2022,
6,6-LA2b,Low,ambient,A2,b,0.5,8/17/2022,
6,6-LH1a,Low,hot,H1,a,0.5,8/17/2022,
6,6-LH1b,Low,hot,H1,b,0.5,8/17/2022,
6,6-MA1a,Mid,ambient,A1,a,5,8/17/2022,
6,6-MA1b,Mid,ambient,A1,b,5,8/17/2022,
6,6-MH1a,Mid,hot,H1,a,5,8/17/2022,
6,6-MH1b,Mid,hot,H1,b,5,8/17/2022,
6,6-HA2a,High,ambient,A2,a,50,8/17/2022,
6,6-HA2b,High,ambient,A2,b,50,8/17/2022,
6,6-HH1a,High,hot,H1,a,50,8/17/2022,
6,6-HH1b,High,hot,H1,b,50,8/17/2022,
6,6-PA2a,Peak,ambient,A2,a,150,8/17/2022,
6,6-PA2b,Peak,ambient,A2,b,150,8/17/2022,
6,6-PH2a,Peak,hot,H2,a,150,8/17/2022,
6,6-PH2b,Peak,hot,H2,b,150,8/17/2022,
6,6-OA1a,Overdose,ambient,A1,a,500,8/17/2022,
6,6-OA1b,Overdose,ambient,A1,b,500,8/17/2022,
6,6-OH1a,Overdose,hot,H1,a,500,8/17/2022,
6,6-OH1b,Overdose,hot,H1,b,500,8/17/2022,
7,7-CA2a,Control,ambient,A2,a,0,8/17/2022,
7,7-CA2b,Control,ambient,A2,b,0,8/17/2022,
7,7-CH2a,Control,hot,H2,a,0,8/17/2022,
7,7-CH2b,Control,hot,H2,b,0,8/17/2022,
7,7-LA2a,Low,ambient,A2,a,0.5,8/17/2022,
7,7-LA2b,Low,ambient,A2,b,0.5,8/17/2022,
7,7-LH1a,Low,hot,H1,a,0.5,8/17/2022,
7,7-LH1b,Low,hot,H1,b,0.5,8/17/2022,
7,7-MA1a,Mid,ambient,A1,a,5,8/17/2022,
7,7-MA1b,Mid,ambient,A1,b,5,8/17/2022,
7,7-MH2a,Mid,hot,H2,a,5,8/17/2022,
7,7-MH2b,Mid,hot,H2,b,5,8/17/2022,
7,7-HA1a,High,ambient,A1,a,50,8/17/2022,
7,7-HA1b,High,ambient,A1,b,50,8/17/2022,
7,7-HH2a,High,hot,H2,a,50,8/17/2022,
7,7-HH2b,High,hot,H2,b,50,8/17/2022,
7,7-PA1a,Peak,ambient,A1,a,150,8/17/2022,
7,7-PA1b,Peak,ambient,A1,b,150,8/17/2022,
7,7-PH1a,Peak,hot,H1,a,150,8/17/2022,
7,7-PH1b,Peak,hot,H1,b,150,8/17/2022,
7,7-OA2a,Overdose,ambient,A2,a,500,8/17/2022,
7,7-OA2b,Overdose,ambient,A2,b,500,8/17/2022,
7,7-OH1a,Overdose,hot,H1,a,500,8/17/2022,
7,7-OH1b,Overdose,hot,H1,b,500,8/17/2022,
8,8-CA1a,Control,ambient,A1,a,0,8/17/2022,
8,8-CA1b,Control,ambient,A1,b,0,8/17/2022,
8,8-CH2a,Control,hot,H2,a,0,8/17/2022,
8,8-CH2b,Control,hot,H2,b,0,8/17/2022,
8,8-LA2a,Low,ambient,A2,a,0.5,8/17/2022,
8,8-LA2b,Low,ambient,A2,b,0.5,8/17/2022,
8,8-LH1a,Low,hot,H1,a,0.5,8/17/2022,
8,8-LH1b,Low,hot,H1,b,0.5,8/17/2022,
8,8-MA1a,Mid,ambient,A1,a,5,8/17/2022,vial labelled 8-MA1a leftover after cryo-freezing… probably this sample was placed in 5-MA1a vial on accident
8,8-MA1b,Mid,ambient,A1,b,5,8/17/2022,vial labelled 8-MA1b leftover after cryo-freezing… probably this sample was placed in 5-MA1b vial on accident
8,8-MH2a,Mid,hot,H2,a,5,8/17/2022,
8,8-MH2b,Mid,hot,H2,b,5,8/17/2022,
8,8-HA1a,High,ambient,A1,a,50,8/17/2022,
8,8-HA1b,High,ambient,A1,b,50,8/17/2022,
8,8-HH1a,High,hot,H1,a,50,8/17/2022,
8,8-HH1b,High,hot,H1,b,50,8/17/2022,
8,8-PA1a,Peak,ambient,A1,a,150,8/17/2022,
8,8-PA1b,Peak,ambient,A1,b,150,8/17/2022,
8,8-PH1a,Peak,hot,H1,a,150,8/17/2022,
8,8-PH1b,Peak,hot,H1,b,150,8/17/2022,
8,8-OA1a,Overdose,ambient,A1,a,500,8/17/2022,
8,8-OA1b,Overdose,ambient,A1,b,500,8/17/2022,
8,8-OH2a,Overdose,hot,H2,a,500,8/17/2022,
8,8-OH2b,Overdose,hot,H2,b,500,8/17/2022,
9,9-CA1a,Control,ambient,A1,a,0,8/17/2022,
9,9-CA1b,Control,ambient,A1,b,0,8/17/2022,
9,9-CH2a,Control,hot,H2,a,0,8/17/2022,
9,9-CH2b,Control,hot,H2,b,0,8/17/2022,
9,9-LA2a,Low,ambient,A2,a,0.5,8/17/2022,
9,9-LA2b,Low,ambient,A2,b,0.5,8/17/2022,
9,9-LH1a,Low,hot,H1,a,0.5,8/17/2022,
9,9-LH1b,Low,hot,H1,b,0.5,8/17/2022,
9,9-MA2a,Mid,ambient,A2,a,5,8/17/2022,
9,9-MA2b,Mid,ambient,A2,b,5,8/17/2022,
9,9-MH2a,Mid,hot,H2,a,5,8/17/2022,
9,9-MH2b,Mid,hot,H2,b,5,8/17/2022,
9,9-HA1a,High,ambient,A1,a,50,8/17/2022,
9,9-HA1b,High,ambient,A1,b,50,8/17/2022,
9,9-HH2a,High,hot,H2,a,50,8/17/2022,
9,9-HH2b,High,hot,H2,b,50,8/17/2022,
9,9-PA2a,Peak,ambient,A2,a,150,8/17/2022,
9,9-PA2b,Peak,ambient,A2,b,150,8/17/2022,
9,9-PH2a,Peak,hot,H2,a,150,8/17/2022,
9,9-PH2b,Peak,hot,H2,b,150,8/17/2022,
9,9-OA2a,Overdose,ambient,A2,a,500,8/17/2022,
9,9-OA2b,Overdose,ambient,A2,b,500,8/17/2022,
9,9-OH1a,Overdose,hot,H1,a,500,8/17/2022,
9,9-OH1b,Overdose,hot,H1,b,500,8/17/2022,
10,10-CA1a,Control,ambient,A1,a,0,8/17/2022,
10,10-CA1b,Control,ambient,A1,b,0,8/17/2022,
10,10-CH2a,Control,hot,H2,a,0,8/17/2022,
10,10-CH2b,Control,hot,H2,b,0,8/17/2022,
10,10-LA1a,Low,ambient,A1,a,0.5,8/17/2022,
10,10-LA1b,Low,ambient,A1,b,0.5,8/17/2022,
10,10-LH1a,Low,hot,H1,a,0.5,8/17/2022,
10,10-LH1b,Low,hot,H1,b,0.5,8/17/2022,
10,10-MA1a,Mid,ambient,A1,a,5,8/17/2022,
10,10-MA1b,Mid,ambient,A1,b,5,8/17/2022,
10,10-MH2a,Mid,hot,H2,a,5,8/17/2022,
10,10-MH2b,Mid,hot,H2,b,5,8/17/2022,
10,10-HA2a,High,ambient,A2,a,50,8/17/2022,
10,10-HA2b,High,ambient,A2,b,50,8/17/2022,
10,10-HH2a,High,hot,H2,a,50,8/17/2022,
10,10-HH2b,High,hot,H2,b,50,8/17/2022,
10,10-PA1a,Peak,ambient,A1,a,150,8/17/2022,
10,10-PA1b,Peak,ambient,A1,b,150,8/17/2022,label fell off in liquid nitrogen bath! Cap should still have cryo_ID
10,10-PH2a,Peak,hot,H2,a,150,8/17/2022,
10,10-PH2b,Peak,hot,H2,b,150,8/17/2022,
10,10-OA1a,Overdose,ambient,A1,a,500,8/17/2022,
10,10-OA1b,Overdose,ambient,A1,b,500,8/17/2022,
10,10-OH1a,Overdose,hot,H1,a,500,8/17/2022,
10,10-OH1b,Overdose,hot,H1,b,500,8/17/2022,
